year,month,rain,press,RH,temp,wind
2016,11,1.840080703,1013.781228,92.79615918,29.70958447,26.79478048
2016,12,0.054656863,1015.66828,89.04821777,28.3062148,24.94845865
2017,1,0.095285179,1015.416391,87.13788565,28.9417624,25.87520223
2017,2,0.154980287,1016.312395,85.27333282,29.63043266,23.14657255
2017,3,2.964086851,1012.687035,88.48411541,31.44774366,29.78624882
2017,4,1.377142545,1011.529731,86.985764,32.62092932,30.91313299
2017,5,9.808012855,1009.656755,93.04481559,31.40145221,28.77146424
2017,6,7.439412763,1007.824637,93.20138205,31.14695356,26.50570552
2017,7,13.21648703,1007.193523,94.89600774,30.06103925,25.89646008
2017,8,7.52658974,1007.639717,94.64502756,30.73999092,28.61299107
2017,9,6.744129299,1009.598477,95.89559643,30.78265854,28.69895899
2017,10,6.848078316,1011.917334,93.78836312,29.91066531,25.4446794
2017,11,0.122231076,1013.382665,87.85946552,29.46207737,24.34938606
2017,12,0.206776003,1016.754473,88.6517106,27.45190901,24.85904594
2018,1,0.097863075,1014.049463,88.8904404,28.5064851,26.97441301
2018,2,0.552355741,1016.135736,86.24809041,28.47846975,24.36610355
2018,3,1.291292565,1012.891983,86.79873357,30.88143928,29.83594567
2018,4,4.356928903,1011.901472,88.85769333,31.86816028,30.39567016
2018,5,6.609973382,1010.602507,94.26944656,31.66889285,26.70101213
2018,6,6.145148196,1007.356973,92.1036232,31.38040822,26.51674721
2018,7,8.919550131,1005.083369,93.16074895,30.10569859,26.23833905
2018,8,5.377291519,1005.949286,93.52459822,29.9046384,28.6228759
2018,9,5.882341235,1009.852028,94.78975161,30.91979952,28.37767056
2018,10,1.437188908,1013.719884,91.80873179,31.035004,26.27711644
2018,11,0.593022481,1014.472659,90.85605837,30.23766999,25.09894155
2018,12,0.177285739,1015.392039,88.1083157,29.58980297,26.16866253
2019,1,0.001658361,1016.995287,85.33455419,29.1636109,27.07278152
2019,2,0.735628798,1014.257739,85.51895521,31.89812575,27.51783613
2019,3,0.954717268,1011.861843,81.92006665,33.39793036,33.92467922
2019,4,1.72137139,1010.141842,84.1397267,34.27890904,29.94007597
2019,5,6.278784005,1008.455819,90.63568663,32.5790001,29.45890865
2019,6,2.591492594,1007.269731,89.44231826,32.53611751,29.87674339
2019,7,4.481132907,1006.882767,89.79297407,31.96615203,29.30861127
2019,8,13.47938044,1006.064374,93.3085822,30.43492892,30.78660656
2019,9,8.638503578,1010.854919,93.86083355,30.20290125,27.96918987
2019,10,1.049949435,1012.856217,91.43577314,31.05912254,27.90293532
2019,11,0.22649893,1014.434412,89.32703159,29.64167281,26.5069264
2019,12,0.001988846,1017.011487,88.15336067,28.23739412,24.46728562
2020,1,0.150841264,1015.552509,87.50979909,29.77846048,28.17513685
2020,2,0.013768941,1016.811029,83.44633567,30.14340962,25.95137033
2020,3,2.476841266,1012.222109,87.26830831,32.38195738,31.03492728
2020,4,2.357467362,1013.083045,86.47922866,32.58383102,28.6007706
2020,5,5.097493343,1009.254932,87.14360602,33.67008924,29.36343748
2020,6,3.890620993,1008.076559,91.44228885,32.13320408,28.55058463
2020,7,4.856803254,1007.853809,92.35488966,32.02127647,28.68753719
2020,8,8.412791828,1007.185067,95.07147977,30.52504468,30.39288423
2020,9,8.081711984,1009.086116,95.9579034,30.63007653,27.84501279
2020,10,6.203642872,1010.361237,95.04297405,28.14620939,26.66303681
2020,11,0.132125005,1015.045621,90.85665699,29.22414563,26.35870261
2020,12,0.002228217,1016.262925,89.43126443,27.68325693,24.22847602
2021,1,0,1016.993483,87.54582401,26.73735456,24.81061424
2021,2,1.231460666,1014.991299,87.65582472,29.54755446,25.39567449
2021,3,1.767193257,1012.500439,87.69860276,32.16660575,32.94310031
2021,4,4.844155732,1011.418012,90.29265004,32.52292059,26.19532103
2021,5,3.742853931,1009.005575,91.74999139,33.09019454,29.13268809
2021,6,5.455147317,1007.587815,91.07344039,32.40464925,26.6169315
2021,7,5.349710335,1006.748671,92.83956489,31.75025213,28.75734051
2021,8,5.196530339,1008.516166,92.00582142,32.06364392,28.88360979
2021,9,10.42024963,1009.547387,96.80607836,30.09768683,25.64801128
2021,10,5.167902454,1011.19578,94.48252162,30.09904146,27.83877919
2021,11,0.038695537,1013.971981,89.16479257,29.84622584,24.72579409
2021,12,0.032615584,1017.718198,87.62049681,28.08824463,24.5171178
2022,1,0.152914148,1015.253451,89.37407548,29.41207797,25.82886672
2022,2,1.512505419,1014.967358,88.54603236,28.89946556,23.31741724
2022,3,2.341414051,1011.483889,89.34853624,32.04948495,33.00174157
2022,4,2.120822445,1011.625535,87.39614087,32.07941853,26.02311622
2022,5,8.399737009,1008.778307,93.09188593,30.96124429,28.35595326
2022,6,5.665932944,1007.830126,91.75280287,32.78714561,27.23784355
2022,7,9.174305152,1006.56128,94.65800177,31.6019322,29.35186105
2022,8,8.578423629,1007.623096,95.23014431,31.02209618,29.05712567
2022,9,10.6019061,1009.15766,96.18162778,30.22878464,26.0907509
2022,10,3.504697163,1013.26273,90.68433366,29.97029626,27.57099277
2022,11,1.571060555,1013.012808,91.29160055,30.56653396,25.23252098
2022,12,0.003021297,1016.284883,87.80866979,27.80136712,24.43318409
2023,1,0.50885093,1017.187089,86.85830347,28.79542975,16.38420018
2023,2,0.162457188,1015.344804,85.55326962,32.79855547,20.2109961
2023,3,0.430364031,1013.811714,82.75303596,35.26485842,21.71443228
2023,4,1.755617663,1009.590065,80.73995956,38.38331308,26.04490435
2023,5,4.83456553,1008.491208,87.61528358,36.55853772,25.95080282
2023,6,7.637305577,1006.189625,92.82683485,34.43035314,25.36700621
2023,7,9.060296618,1006.784579,92.87781036,33.86264176,25.11362455
2023,8,4.765871198,1008.744157,93.37230815,32.82532483,25.26197
2023,9,12.76927197,1009.618773,96.85688594,31.57792413,24.57499695
2023,10,5.117385144,1013.335683,94.16721751,32.75210979,24.27206201
2012,1,1.076791457,1010.691998,88.23625767,28.03018552,22.41332876
2012,2,0.269560188,1012.422794,87.27886001,29.98091685,23.69922343
2012,3,0.810558612,1012.022819,84.72825261,31.32448649,25.56926031
